Balanced Accuracy,Aggregate Average Precision,ROC_AUC,Matthews Correlation Coefficient
1.0,0.9250000000000002,1.0,1.0
0.9910714285714286,0.9166666666666669,0.9998263888888889,0.9897845638779853
1.0,0.9250000000000002,1.0,1.0
0.9827380952380953,0.9083333333333334,1.0,0.9795709950302773
0.9821428571428572,0.801470588235294,1.0,0.9797474580429025
0.975,0.9807692307692307,1.0,0.9678122780858314
1.0,0.875,1.0,1.0
0.9903846153846154,0.8666666666666667,0.9997909698996655,0.9892026791319798
1.0,0.875,1.0,1.0
0.9916666666666667,0.8666666666666667,1.0,0.9892015420366608
